c2-00	35	Johann Sebastian Bach - Johann Sebastian Bach (2018) [7b1957d3]
c2-01	24	Aphex Twin - Selected Ambient Works, Volume II (1994) [0cd2ea15]
c2-02	17	Kamasi Washington - The Epic (2015) [0c465d9c]
c2-03	17	Frank Ocean - Blonde (2016) [dfcc8d79]
c2-04	17	Boards of Canada - Music Has the Right to Children (1998) [612d720d]
c2-05	16	Sparklehorse - Vivadixiesubmarinetransmissionplot (1995) [53a5f4e7]
c2-06	16	Kendrick Lamar - To Pimp a Butterfly (2015) [2539bc28]
c2-07	15	The Kinks - The Kinks Are the Village Green Preservation Society (1990) [792c63b7]
c2-08	15	MF DOOM - MMFOOD (2004) [d383e6f3]
c2-09	13	The Beach Boys - Pet Sounds (2012) [f1912876]
c2-10	13	Kanye West - My Beautiful Dark Twisted Fantasy (2010) [f6fb7de6]
c2-11	13	Death Grips - The Money Store (2012) [e79cd72a]
c2-12	13	Daft Punk - Random Access Memories (2013) [458bbede]
c2-13	12	The Zombies - Odessey and Oracle (1986) [bbf35778]
c2-14	12	Gojira - From Mars to Sirius (2005) [18db7ac1]
c2-15	11	Talking Heads - Fear of Music (1987) [c696d772]
c2-16	11	Simon and Garfunkel - Bridge Over Troubled Water (1993) [f8a2f039]
c2-17	11	Ride - Nowhere (1990) [9e9ccbf7]
c2-18	11	Neil Young - After the Gold Rush (1987) [f9de3677]
c2-19	11	Max Richter - The Blue Notebooks (2004) [d613a3ca]
