cratedigger dev shell — run: python3 -m unittest discover -s tests -t . -v

===== THREE-STATE, NEW MATRIX 19 albums, window-0 gate T=62, untestable = nocliff & step<8 =====
candidate          n  PROVED  BOUNDED  DEN(wall)  DEN(deficit)  UNTEST
genuine           19      12        0          2             5       0
lame-v0           19      10        1          3             5       0
vorbis-q10        19      11        0          4             4       0
vorbis-q8         19       8        0          2             9       0
vorbis-q7         19       8        0          1            10       0
vorbis-q6         19       7        1          1            10       0
aacffm-320        19      12        0          1             6       0
aacffm-256        19      12        0          1             6       0
qaac-cvbr320      19      11        0          2             6       0
qaac-cvbr256      19      11        0          3             5       0
qaac-tvbr91       19       0        3         12             4       0
qaac-abr192       19       0        3         12             4       0
opus-256          19       0        0         19             0       0
opus-192          19       0        0         19             0       0
opus-96           19       0        0         19             0       0
lame-v2           19       0       16          0             3       0
lame-cbr320       19       0        0         18             1       0
lame-cbr256       19       0        1         17             1       0
lame-cbr192       19       0       16          0             3       0
lame-cbr128       19       0       18          0             1       0
qaac-cbr128       19       0       14          0             5       0
vorbis-q5         19       0        1          6            12       0
vorbis-q4         19       0       10          1             8       0
aacffm-192        19       1        0         17             1       0
aacffm-128        19       0        3          0            12       4
wma-320           17       0        0          7            10       0
wma-192           17       0        1          5            10       1
wma-128           17       1        0          4            11       1

===== THREE-STATE, NEW MATRIX 19 albums, window-0 gate T=62, untestable = nocliff & step<12 =====
candidate          n  PROVED  BOUNDED  DEN(wall)  DEN(deficit)  UNTEST
genuine           19      12        0          2             3       2
lame-v0           19      10        1          3             4       1
vorbis-q10        19      11        0          4             4       0
vorbis-q8         19       8        0          2             8       1
vorbis-q7         19       8        0          1             9       1
vorbis-q6         19       7        1          1            10       0
aacffm-320        19      12        0          1             5       1
aacffm-256        19      12        0          1             5       1
qaac-cvbr320      19      11        0          2             5       1
qaac-cvbr256      19      11        0          3             4       1
qaac-tvbr91       19       0        3         12             4       0
qaac-abr192       19       0        3         12             4       0
opus-256          19       0        0         19             0       0
opus-192          19       0        0         19             0       0
opus-96           19       0        0         19             0       0
lame-v2           19       0       16          0             3       0
lame-cbr320       19       0        0         18             1       0
lame-cbr256       19       0        1         17             1       0
lame-cbr192       19       0       16          0             3       0
lame-cbr128       19       0       18          0             1       0
qaac-cbr128       19       0       14          0             5       0
vorbis-q5         19       0        1          6            12       0
vorbis-q4         19       0       10          1             8       0
aacffm-192        19       1        0         17             1       0
aacffm-128        19       0        3          0            12       4
wma-320           17       0        0          7             8       2
wma-192           17       0        1          5             8       3
wma-128           17       1        0          4            10       2

===== THREE-STATE, NEW MATRIX 19 albums, window-0 gate T=62, untestable = nocliff & step<15 =====
candidate          n  PROVED  BOUNDED  DEN(wall)  DEN(deficit)  UNTEST
genuine           19      12        0          2             1       4
lame-v0           19      10        1          3             4       1
vorbis-q10        19      11        0          4             2       2
vorbis-q8         19       8        0          2             6       3
vorbis-q7         19       8        0          1             7       3
vorbis-q6         19       7        1          1             8       2
aacffm-320        19      12        0          1             1       5
aacffm-256        19      12        0          1             1       5
qaac-cvbr320      19      11        0          2             3       3
qaac-cvbr256      19      11        0          3             4       1
qaac-tvbr91       19       0        3         12             4       0
qaac-abr192       19       0        3         12             4       0
opus-256          19       0        0         19             0       0
opus-192          19       0        0         19             0       0
opus-96           19       0        0         19             0       0
lame-v2           19       0       16          0             3       0
lame-cbr320       19       0        0         18             1       0
lame-cbr256       19       0        1         17             1       0
lame-cbr192       19       0       16          0             3       0
lame-cbr128       19       0       18          0             1       0
qaac-cbr128       19       0       14          0             5       0
vorbis-q5         19       0        1          6            12       0
vorbis-q4         19       0       10          1             8       0
aacffm-192        19       1        0         17             1       0
aacffm-128        19       0        3          0            12       4
wma-320           17       0        0          7             7       3
wma-192           17       0        1          5             7       4
wma-128           17       1        0          4             9       3
