gas-pop	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Gas/2000 - Pop/01 Pop 1.flac	/mnt/virtio/Music/calibration-tmp/Beets/Gas/2000 - Pop/01 Pop 1.flac
gas-pop	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Gas/2000 - Pop/02 Pop 2.flac	/mnt/virtio/Music/calibration-tmp/Beets/Gas/2000 - Pop/02 Pop 2.flac
gas-pop	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Gas/2000 - Pop/03 Pop 3.flac	/mnt/virtio/Music/calibration-tmp/Beets/Gas/2000 - Pop/03 Pop 3.flac
gas-pop	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Gas/2000 - Pop/04 Pop 4.flac	/mnt/virtio/Music/calibration-tmp/Beets/Gas/2000 - Pop/04 Pop 4.flac
gas-pop	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Gas/2000 - Pop/05 Pop 5.flac	/mnt/virtio/Music/calibration-tmp/Beets/Gas/2000 - Pop/05 Pop 5.flac
gas-pop	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Gas/2000 - Pop/06 Pop 6.flac	/mnt/virtio/Music/calibration-tmp/Beets/Gas/2000 - Pop/06 Pop 6.flac
gas-pop	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Gas/2000 - Pop/07 Pop 7.flac	/mnt/virtio/Music/calibration-tmp/Beets/Gas/2000 - Pop/07 Pop 7.flac
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/01 Prelude and Fughetta in G major, BWV 902_ I. Prelude.flac	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/01 Prelude and Fughetta in G major, BWV 902_ I. Prelude.flac
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/02 Chorale Prelude, BWV 734, _Nun freut euch, lieben Christen g'mein_ (Transcr. by Wilhelm Kempff).flac	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/02 Chorale Prelude, BWV 734, _Nun freut euch, lieben Christen g'mein_ (Transcr. by Wilhelm Kempff).flac
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/03 Prelude and Fugue in E minor, BWV 855, (The Well-Tempered Clavier, Book I, No. 10)_ I. Prelude.flac	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/03 Prelude and Fugue in E minor, BWV 855, (The Well-Tempered Clavier, Book I, No. 10)_ I. Prelude.flac
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/04 Prelude and Fugue in E minor, BWV 855, (The Well-Tempered Clavier, Book I, No. 10)_ II. Fugue.flac	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/04 Prelude and Fugue in E minor, BWV 855, (The Well-Tempered Clavier, Book I, No. 10)_ II. Fugue.flac
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/05 Organ Sonata no. 4 in E minor, BWV 528_ II. Adagio (Orig. Andante; transcr. by August Stradal).flac	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/05 Organ Sonata no. 4 in E minor, BWV 528_ II. Adagio (Orig. Andante; transcr. by August Stradal).flac
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/06 Prelude and Fugue in D major, BWV 850, (The Well-Tempered Clavier, Book I, No. 5)_ I. Prelude.flac	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/06 Prelude and Fugue in D major, BWV 850, (The Well-Tempered Clavier, Book I, No. 5)_ I. Prelude.flac
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/07 Prelude and Fugue in D major, BWV 850, (The Well-Tempered Clavier, Book I, No. 5)_ II. Fugue.flac	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/07 Prelude and Fugue in D major, BWV 850, (The Well-Tempered Clavier, Book I, No. 5)_ II. Fugue.flac
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/08 Chorale Prelude, BWV 659, _Nun komm der Heiden Heiland_, (Transcr. by Ferruccio Busoni).flac	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/08 Chorale Prelude, BWV 659, _Nun komm der Heiden Heiland_, (Transcr. by Ferruccio Busoni).flac
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/09 Prelude and Fugue in C minor, BWV 847, (The Well-Tempered Clavier, Book I, No. 2)_ I. Prelude.flac	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/09 Prelude and Fugue in C minor, BWV 847, (The Well-Tempered Clavier, Book I, No. 2)_ I. Prelude.flac
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/10 Prelude and Fugue in C minor, BWV 847, (The Well-Tempered Clavier, Book I, No. 2)_ II. Fugue.flac	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/10 Prelude and Fugue in C minor, BWV 847, (The Well-Tempered Clavier, Book I, No. 2)_ II. Fugue.flac
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/11 _Widerstehe doch der Sunde_, BWV 54, Aria.flac	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/11 _Widerstehe doch der Sunde_, BWV 54, Aria.flac
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/12 Aria variata (alla maniera italiana) in A minor, BWV 989_ I. Aria.flac	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/12 Aria variata (alla maniera italiana) in A minor, BWV 989_ I. Aria.flac
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/13 Aria variata (alla maniera italiana) in A minor, BWV 989_ II. Variation 1.flac	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/13 Aria variata (alla maniera italiana) in A minor, BWV 989_ II. Variation 1.flac
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/14 Aria variata (alla maniera italiana) in A minor, BWV 989_ III. Variation 2.flac	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/14 Aria variata (alla maniera italiana) in A minor, BWV 989_ III. Variation 2.flac
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/15 Aria variata (alla maniera italiana) in A minor, BWV 989_ IV. Variation 3.flac	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/15 Aria variata (alla maniera italiana) in A minor, BWV 989_ IV. Variation 3.flac
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/16 Aria variata (alla maniera italiana) in A minor, BWV 989_ V. Variation 4.flac	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/16 Aria variata (alla maniera italiana) in A minor, BWV 989_ V. Variation 4.flac
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/17 Aria variata (alla maniera italiana) in A minor, BWV 989_ VI. Variation 5.flac	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/17 Aria variata (alla maniera italiana) in A minor, BWV 989_ VI. Variation 5.flac
olafsson-bach	ground-truth	flac	source	asis	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/18 Aria variata (alla maniera italiana) in A minor, BWV 989_ VII. Variation 6.flac	/mnt/virtio/Music/calibration-tmp/Beets/Johann Sebastian Bach; Vikingur Olafsson/2018 - Johann Sebastian Bach/18 Aria variata (alla maniera italiana) in A minor, BWV 989_ VII. Variation 6.flac
