cratedigger dev shell — run: python3 -m unittest discover -s tests -t . -v
genuine control albums pooled: 156
   {'arms': 100, 'mtx': 19, 'apl': 37}

feature         gen SD  gen IQR       lame-v0  aacffm-256  aacffm-320  vorbis-q10   vorbis-q8   vorbis-q7   vorbis-q6 qaac-cvbr25 qaac-cvbr32
                                   medΔ/genSD  medΔ/genSD  medΔ/genSD  medΔ/genSD  medΔ/genSD  medΔ/genSD  medΔ/genSD  medΔ/genSD  medΔ/genSD
slope_lo         0.514    0.584        -0.289       0.007       0.002      -0.006       0.011       0.029       0.019      -0.005      -0.007
slope_mid        0.614    0.576        -0.191       0.018       0.011       0.016      -0.986      -1.024      -1.274      -0.001      -0.010
slope_top        2.040    2.536        -0.240       0.039       0.031      -0.434      -0.409      -0.297      -0.298       0.010      -0.001
knee_mid_lo      0.607    0.433        -0.104       0.004       0.008       0.021      -1.000      -1.054      -1.300      -0.006      -0.006
knee_top_mid     1.903    1.899        -0.158       0.041       0.033      -0.479      -0.115      -0.117      -0.135       0.017       0.028
curv_all         0.136    0.164        -0.183       0.069       0.074      -0.399      -0.191      -0.401      -0.308      -0.005      -0.017
curv_top         0.383    0.402        -0.111       0.073       0.075      -0.324      -0.084       0.078       0.286       0.058       0.018
curv_min         4.151    4.692        -0.374       0.019       0.005      -0.188      -0.176      -0.236      -0.293      -0.008      -0.015
curv_max         3.565    4.650         0.248      -0.011       0.004       0.060       0.191       0.164       0.362       0.022       0.019
rough_all        0.954    1.101         0.391      -0.022      -0.006       0.183       0.215       0.251       0.268       0.044       0.021
rough_top        1.117    1.593         0.249       0.001       0.003       0.349       0.429       0.512       0.544       0.092       0.039
rough_lo         1.113    0.684         0.183      -0.022       0.005       0.010       0.011      -0.013      -0.022       0.006       0.013
rough_ratio      1.159    0.854         0.097       0.022      -0.001       0.335       0.425       0.516       0.546       0.042       0.039
resid_lin        1.618    2.149         0.371      -0.017      -0.019       0.376       0.637       0.748       0.832       0.060       0.064
resid_iso        1.105    0.489         0.022       0.006       0.006       0.012      -0.004      -0.010      -0.006       0.005       0.003
quad_c           0.059    0.077        -0.052       0.037       0.031      -0.298      -0.631      -0.668      -0.737      -0.010      -0.034
resid_quad       1.120    1.488         0.395      -0.023      -0.028       0.513       0.642       0.682       0.719       0.052       0.042
top_sd           2.818    3.353         0.250      -0.034      -0.023       0.373       0.372       0.294       0.352      -0.018      -0.016
top_span         7.016    8.128         0.260      -0.020      -0.026       0.386       0.370       0.278       0.224      -0.024      -0.009
maxdrop          3.918    5.323         0.567      -0.026      -0.021       0.518       0.549       0.490       0.574       0.032       0.017
maxdrop_top      4.032    5.589         0.254      -0.031      -0.029       0.559       0.688       0.704       0.810       0.055       0.048
_U              10.563   13.780         0.442      -0.022      -0.016       0.267       0.553       0.553       0.565       0.043       0.060
_d18_195         7.717   10.014         0.358      -0.004       0.008      -0.004       0.359       0.455       0.531       0.019       0.020
_drop_hi         7.314    9.506         0.153      -0.028      -0.040       0.293       0.490       0.478       0.520      -0.003       0.004

=== raw median paired album delta (dB or dB/500Hz), same layout ===
feature              lame-v0  aacffm-256  aacffm-320  vorbis-q10   vorbis-q8   vorbis-q7   vorbis-q6 qaac-cvbr25 qaac-cvbr32 lame-cbr320  aacffm-192   vorbis-q5    opus-256 qaac-tvbr91
slope_lo              -0.148       0.004       0.001      -0.003       0.006       0.015       0.010      -0.002      -0.003       0.002       0.003       0.007       0.002       0.001
slope_mid             -0.117       0.011       0.007       0.010      -0.606      -0.629      -0.783      -0.001      -0.006      -0.078      -3.244      -1.385      -0.080      -3.167
slope_top             -0.489       0.079       0.064      -0.885      -0.834      -0.607      -0.609       0.020      -0.003      -4.404       1.220      -2.053      -4.546       1.117
knee_mid_lo           -0.063       0.003       0.005       0.013      -0.607      -0.640      -0.789      -0.004      -0.004      -0.072      -3.250      -1.396      -0.085      -3.110
knee_top_mid          -0.300       0.078       0.064      -0.912      -0.219      -0.222      -0.257       0.031       0.054      -4.322       4.761       0.157      -4.459       4.129
curv_all              -0.025       0.009       0.010      -0.054      -0.026      -0.055      -0.042      -0.001      -0.002       0.144       0.139       0.125       0.096       0.158
curv_top              -0.042       0.028       0.029      -0.124      -0.032       0.030       0.110       0.022       0.007       0.409       0.453       0.504       0.285       0.528
curv_min              -1.554       0.080       0.021      -0.780      -0.732      -0.979      -1.217      -0.032      -0.062      -7.341     -14.144      -3.410      -6.996      -9.027
curv_max               0.883      -0.039       0.013       0.212       0.681       0.584       1.292       0.080       0.066      10.478      13.929       5.862       9.761      11.024
rough_all              0.373      -0.021      -0.006       0.174       0.205       0.239       0.255       0.042       0.020       1.526       1.895       0.948       1.409       1.484
rough_top              0.279       0.001       0.003       0.390       0.479       0.572       0.607       0.102       0.043       3.439       4.328       2.040       3.332       3.205
rough_lo               0.203      -0.024       0.005       0.011       0.013      -0.015      -0.025       0.007       0.015       0.021      -0.070       0.048      -0.050       0.065
rough_ratio            0.112       0.026      -0.001       0.388       0.492       0.598       0.633       0.048       0.045       3.418       4.380       2.069       3.370       3.097
resid_lin              0.600      -0.028      -0.031       0.609       1.030       1.211       1.347       0.098       0.104       4.807       4.869       3.503       4.450       4.474
resid_iso              0.024       0.007       0.007       0.013      -0.004      -0.011      -0.007       0.005       0.003       0.021       0.037       0.000      -0.029       0.001
quad_c                -0.003       0.002       0.002      -0.017      -0.037      -0.039      -0.043      -0.001      -0.002      -0.160      -0.164      -0.109      -0.147      -0.120
resid_quad             0.442      -0.026      -0.031       0.575       0.719       0.763       0.806       0.059       0.047       3.093       3.205       1.856       3.033       3.012
top_sd                 0.705      -0.095      -0.065       1.051       1.048       0.828       0.993      -0.052      -0.045       3.773      -3.661       2.317       3.807      -3.649
top_span               1.821      -0.140      -0.181       2.711       2.596       1.951       1.572      -0.168      -0.060       7.931      -9.369       5.635       8.200      -9.353
maxdrop                2.220      -0.102      -0.082       2.030       2.151       1.919       2.248       0.126       0.066      11.031      14.531       6.282      11.562      12.094
maxdrop_top            1.023      -0.125      -0.117       2.253       2.775       2.839       3.264       0.223       0.195      12.032      18.173       6.577      11.858      12.668
_U                     4.664      -0.229      -0.169       2.821       5.841       5.846       5.971       0.449       0.631      23.737      23.980      16.502      21.712      19.519
_d18_195               2.760      -0.033       0.061      -0.027       2.768       3.511       4.095       0.148       0.153       0.223       8.116       5.725       0.393       9.964
_drop_hi               1.120      -0.206      -0.295       2.142       3.585       3.500       3.802      -0.019       0.031      22.992      17.543      10.717      21.370      11.355
