cratedigger dev shell — run: python3 -m unittest discover -s tests -t . -v
genuine albums: 114   genuine-vs-genuine shape distance (RMS dB/band over 20 bands)
  p10=2.373  median=6.461  p90=14.636

variant              n  d_codec med  d_codec p90   SNR med   pct of genuine pairs closer
lame-v0             17        2.878        5.933     0.445                         15.0%
aacffm-256          17        0.201        0.448     0.031                          0.0%
aacffm-320          17        0.234        0.453     0.036                          0.0%
vorbis-q10          17        1.179        2.552     0.183                          1.3%
vorbis-q8           17        3.902        5.985     0.604                         26.2%
vorbis-q7           17        4.221        6.516     0.653                         29.9%
vorbis-q6           17        4.393        7.542     0.680                         31.6%
qaac-cvbr256        17        0.265        2.668     0.041                          0.0%
qaac-cvbr320        17        0.259        2.700     0.040                          0.0%
apple256-flac(A)    17        0.497        2.882     0.077                          0.0%
apple256-flac(B)    20        0.557        3.932     0.086                          0.0%
lame-cbr320         17        9.680       13.537     1.498                         73.3%
aacffm-192          17       12.003       14.893     1.858                         83.9%
vorbis-q5           17        7.727       11.847     1.196                         59.5%
